topic,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Adaptation to Concept Drift in Data Streams,0,0,0,1,0,1,0,0,1,1,2,1,1,6,2,2,4,1,0
Advanced Multi-Objective Optimization Algorithms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Steganography and Watermarking Techniques,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Adversarial Robustness in Machine Learning,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,6,3,0
Bayesian Methods and Mixture Models,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biometric Identification and Security,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blind Source Separation Techniques,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Blockchain Technology Applications and Security,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Blockchain Technology in Education and Learning,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
COVID-19 Digital Contact Tracing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Caching and Content Delivery,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cellular Automata and Applications,3,2,2,2,1,0,3,1,1,0,1,0,0,1,0,0,1,3,0
Chaos-based Image/Signal Encryption,0,0,1,1,0,1,0,0,1,3,0,1,2,1,1,0,0,0,0
Cloud Computing and Resource Management,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cloud Data Security Solutions,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognitive Radio Networks and Spectrum Sensing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Computational Geometry and Mesh Generation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cooperative Communication and Network Coding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cybercrime and Law Enforcement Studies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Visualization and Analytics,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Distributed Constraint Optimization Problems and Algorithms,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Distributed Multi-Agent Coordination and Control,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Educational Methods and Media Use,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Educational Technology and E-Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Energy Efficient Wireless Sensor Networks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Engineering Education and Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gaussian Processes and Bayesian Inference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
